user,item,rating
14,400,1.95
17,58,2.11
32,18,2.2
41,22,2.16
61,70,1.23
62,75,1.67
63,205,2.47
67,47,2.03
77,102,2.31
78,51,1.98
79,111,1.87
80,646,2.54
81,116,2.01
89,491,1.8
93,191,2.14
98,53,2.2
105,197,1.63
109,24,2.53
117,290,2.13
128,268,2.68
129,280,1.92
131,175,2.33
135,308,2.2
136,314,2.24
139,295,1.54
157,55,2.71
174,367,1.49
191,427,2.38
192,13,1.82
198,76,2.15
201,567,2.32
205,445,2.78
207,451,1.46
217,472,2.13
219,492,2.32
220,496,2.35
233,535,1.48
234,538,2.5
235,554,2.81
239,86,2.34
240,577,2.22
242,217,1.34
244,586,2.19
248,608,2.67
249,616,2.28
259,649,1.99
265,669,1.62
271,455,2.54
278,290,2.47
288,726,2.01
311,66,3.03
312,596,1.84
325,802,1.98
343,780,1.9
345,859,1.84
348,214,2.28
358,872,1.8
33,456,2.28
37,195,1.5
38,438,1.58
47,39,2.37
53,46,1.77
54,46,2.04
56,476,2.28
57,566,1.88
57,125,2.32
58,74,2.16
64,24,2.05
68,22,1.6
70,149,1.93
74,24,2.1
76,257,2.32
83,120,1.3
95,152,1.98
99,18,2.36
104,180,2.45
108,197,1.79
116,258,1.0
130,587,1.92
138,23,2.32
145,462,1.75
159,217,2.25
162,341,2.04
163,23,2.63
165,347,1.81
168,366,1.81
169,22,1.96
171,365,2.37
171,360,2.9
172,22,1.73
173,262,2.0
177,391,1.97
183,389,1.69
196,433,1.73
206,544,2.38
216,469,1.9
223,682,2.3
225,512,2.43
254,94,2.27
261,817,2.08
275,58,2.58
283,713,1.37
296,125,2.63
305,47,2.53
306,58,2.07
310,761,2.26
315,47,2.13
320,400,2.61
327,117,2.32
328,180,1.56
329,180,1.92
341,43,1.45
344,774,2.13
356,848,1.6
360,876,1.94
363,227,1.51
11,169,2.19
15,218,2.32
24,195,1.64
28,2,2.54
31,7,2.36
34,400,2.11
34,628,2.45
39,166,1.45
48,158,2.26
52,6,2.31
71,82,1.58
72,86,2.51
73,91,1.56
87,219,2.1
97,158,2.25
102,148,2.15
114,219,1.89
121,234,2.28
134,288,1.86
146,267,1.43
152,55,2.63
160,336,1.92
182,387,1.82
184,398,1.31
188,410,2.13
189,414,2.03
194,830,2.02
200,845,1.95
212,485,3.02
218,332,2.11
221,485,2.32
222,506,1.58
226,820,2.23
227,517,2.12
238,573,1.16
243,592,1.72
250,631,2.15
252,618,1.66
255,623,1.42
260,791,2.51
262,195,1.36
266,677,1.96
267,674,2.3
287,725,2.79
289,729,2.33
291,739,2.24
292,47,2.54
300,754,2.02
303,747,2.62
308,276,1.41
314,42,2.5
326,805,1.99
336,60,1.94
338,136,2.72
339,756,2.6
347,827,2.26
349,811,2.26
357,855,1.65
2,219,2.66
8,128,1.85
30,16,2.28
42,6,1.92
43,46,2.46
49,38,2.86
49,40,2.75
50,263,1.47
55,177,2.22
55,181,1.98
60,66,2.64
82,67,2.45
88,125,1.67
88,124,1.51
94,187,2.11
110,208,1.49
111,214,2.93
112,334,1.53
127,518,1.99
133,283,1.42
141,303,1.49
144,653,2.65
161,338,1.65
164,324,1.62
167,355,2.6
170,59,2.72
180,130,1.74
186,543,2.38
190,420,2.08
229,527,1.66
232,600,2.87
236,559,1.28
237,563,2.46
245,603,2.15
246,604,2.41
247,605,2.22
253,639,2.37
256,630,1.81
257,632,2.14
258,637,1.98
264,670,1.47
270,390,2.53
274,483,1.11
277,703,1.72
279,456,2.16
282,53,2.18
290,732,2.54
297,10,2.33
309,443,2.95
313,596,2.1
317,13,1.2
318,13,1.12
335,60,1.96
342,172,1.89
346,737,2.84
361,877,1.66
362,880,2.1
9,195,1.44
19,93,1.96
20,24,2.54
26,272,1.75
26,195,1.58
29,382,2.56
35,25,1.69
40,51,2.49
44,443,2.29
45,331,1.53
59,53,2.11
59,642,1.47
69,475,2.32
75,100,1.8
84,131,2.12
85,228,2.41
90,126,2.73
92,143,2.07
107,10,2.18
113,8,1.4
122,175,2.07
122,248,2.13
122,247,2.74
123,240,1.81
125,29,1.55
132,281,2.21
140,29,2.24
150,328,1.92
151,393,1.8
156,219,1.72
158,529,2.82
166,350,1.83
178,404,2.42
181,385,2.2
193,2,2.28
197,168,2.41
208,86,2.11
224,232,2.21
228,521,2.07
241,584,2.67
263,663,2.07
272,402,0.12
273,374,0.84
276,698,1.8
280,298,1.72
281,711,2.71
284,718,1.59
285,180,2.5
286,723,2.37
293,523,1.91
307,290,2.05
316,6,1.96
319,332,1.65
322,794,1.66
332,812,2.46
333,836,1.26
334,456,2.3
340,756,2.35
350,8,2.2
352,266,2.58
353,841,1.6
359,866,1.8
